boot_patch.sh的MD5,注释,需要检查是否存在的文件,支持RECOVERYMODE,当存在recovery_dtbo文件时自动设为RECOVERYMODE,支持TWOSTAGEINIT,支持PATCHVBMETAFLAG,支持设置PREINITDEVICE,支持LEGACYSAR,支持修补VENDORBOOT,检查ramdisk状态-是否允许无ramdisk情况,针对AonlySAR的ramdisk的特殊处理,支持索尼init.real,需要时从config.orig读取部分配置,在config中加入PATCHVBMETAFLAG,在config中加入RANDOMSEED,删除ramdisk中的init.zygote*.rc,修补ramdisk方案,在修补ramdisk方案2中是否启用SKIP64标志控制,在修补ramdisk方案2中是否启用SKIP32标志控制,压缩ramdisk,编辑header设置selinux为permissive,修补dtb的前提条件,支持修补的dtb文件,测试dtb,修补kernel-修补vivo do_mount_check,修补kernel-移除三星defex-A8_variant,修补kernel-移除三星defex-N9_variant,修补kernel-移除三星defex,修补kernel-禁用三星PROCA,若kernel未修改则删除,
[patchShMd5],[comment],[RequiredFiles],[RecoveryModeSupport],[AutoSetRecoveryModeWhenRecoveryDtboFound],[TwoStageInitSupport],[SupportPatchVbmetaFlag],[SupportPreInitDevice],[SupportLegacySarFlag],[SupportPatchVendorBoot],[CheckRamdiskStatus_AllowMissingRamdisk],[AonlySARRamdiskSpecialHandling],[SupportSonyInitReal],[ReadFromConfigOrig],[AddPatchVbmetaFlagToConfig],[AddRandomSeedToConfig],[RmInitZygoteRcInRamdisk],[RamdiskPatchOption],[EnableSkip64FlagForOption2],[EnableSkip32FlagForOption2],[CompressRamdisk],[EditHeaderToSetSELinuxPermissive],[DtbPatchingCondition],[SupportedDtbFiles],[TestDtb],[PatchKernel_PatchVivoDoMountCheck],[PatchKernel_RemoveSamsungDefexA8Variant],[PatchKernel_RemoveSamsungDefexN9Variant],[PatchKernel_RemoveSamsungDefex],[PatchKernel_DisableSamsungPROCA],[RmKernelIfUnpatched],
[cf9e4aa382b3e63d89197fdc68830622],Alpha_ecc74d45-alpha_27002,magiskinit;magiskboot;magisk{CpuBit}.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,2,true,true,false,false,none,dtb;kernel_dtb;extra,true,false,false,false,true,false,true,
[aab9744685889f10718afd2fb81bb0dc],KitsuneMask_v27.2-kitsune-4_27002,magiskinit;magiskboot;magisk{CpuBit}.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,2,true,true,false,false,none,dtb;kernel_dtb;extra,true,true,false,false,true,true,true,
[1a2b07b2dd2b2a47c41174087aac4bd1],Kitsune-27005-a497a13b-mod,magiskinit;magiskboot;magisk{CpuBit}.xz;stub.xz;util_functions.xz;busybox.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,2-mod1,true,true,false,true,none,dtb;kernel_dtb;extra,true,true,false,false,true,true,true,
[266e059172686269eb7a9bba349612b2],27005,magiskinit;magiskboot;magisk.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,3,false,false,false,false,none,dtb;kernel_dtb;extra,true,false,false,false,true,false,true,
[9f4409484fe73305f3e8272e34d796de],27006,magiskinit;magiskboot;magisk.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,4,false,false,false,false,none,dtb;kernel_dtb;extra,true,false,false,false,true,false,true,
[b16be7340e360cfb012953dbdbda6bf4],28000-29000,magiskinit;magiskboot;magisk.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,4,false,false,false,false,none,dtb;kernel_dtb;extra,true,false,false,false,true,true,true,
[0d1bdb70f8ae72ff2fa646a8aff448b7],Alpha_070719db-alpha_28001,magiskinit;magiskboot;magisk.xz;stub.xz,true,false,false,true,true,true,false,true,false,false,true,false,false,false,4,false,false,false,false,skip,dtb;kernel_dtb;extra,true,false,false,false,true,true,true,
[a9431ff5ccf76e3b749388adef04c8b1],Alpha_c3db2e36-alpha_30400,magiskinit;magiskboot;magisk.xz;stub.xz,true,false,false,true,true,true,true,true,false,false,true,false,false,false,4,false,false,false,false,skip,dtb;kernel_dtb;extra,true,false,false,false,true,true,true,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
